Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agricultural Production Major Crops Target Cotton,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,15.0,15.0,16.5,18.5,22.0,26.0,26.0,26.0,34.0,35.0,
Agricultural Production Major Crops Target Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,12.0,11.8,11.28,11.28,11.0,11.0,11.2,11.5,12.3,12.0,
Agricultural Production Major Crops Achievements Rice,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,88.53,83.13,91.79,93.35,96.69,99.18,89.09,95.98,104.32,104.4,
Agricultural Production Major Crops Achievements Wheat,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,72.15,68.64,69.35,75.81,78.57,80.68,80.8,86.87,93.9,92.46,
Agricultural Production Major Crops Achievements Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,37.6,33.46,34.06,33.92,40.76,40.03,33.55,43.68,42.01,40.06,
Agricultural Production Major Crops Achievements Pulses,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,14.91,13.13,13.39,14.2,14.76,14.57,14.66,18.24,17.21,18.45,
Agricultural Production Major Crops Achievements Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,213.19,198.36,208.59,217.28,230.78,234.47,218.11,244.78,257.44,255.36,
Agricultural Production Major Crops Achievements Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,25.19,24.35,27.98,24.29,29.76,27.72,24.88,32.48,30.01,31.01,
Agricultural Production Major Crops Achievements Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,233.86,237.09,281.17,355.52,348.19,285.03,292.3,342.38,357.67,338.96,
Agricultural Production Major Crops Achievements Cotton,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,13.73,16.43,18.5,22.63,25.88,22.28,24.02,33.0,35.2,34.0,
Agricultural Production Major Crops Achievements Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,11.17,10.27,10.84,11.27,11.21,10.37,11.82,10.62,11.57,11.3,
Agricultural Production Area,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,,120.08,121.6,123.71,124.07,122.85,121.34,126.67,124.75,120.8,126.2
Agricultural Production Volume,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,213.19,198.36,208.6,217.28,230.78,234.47,218.11,244.5,259.29,255.36,
