Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agricultural Production Foodgrains Coarse Cereals Volume Goa,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,1.9,1.3,1.1,1.1,1.2,1.1,1.0,0.8,0.7,0.8,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,2635.4,1734.5,1836.0,1516.0,2151.0,1976.0,1600.0,1755.2,2230.0,2070.0,
Agricultural Production Foodgrains Coarse Cereals Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,1146.0,882.0,813.0,1197.0,1357.0,1329.4,1132.0,1369.0,1390.0,1000.0,
Agricultural Production Foodgrains Coarse Cereals Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,771.8,788.2,570.7,728.2,896.2,712.1,563.5,713.5,750.0,670.0,
Agricultural Production Foodgrains Coarse Cereals Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,552.7,517.3,467.7,512.3,499.5,660.4,513.3,550.7,530.0,540.0,
Agricultural Production Foodgrains Coarse Cereals Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,342.0,324.1,259.6,332.0,386.4,333.9,216.9,268.2,330.0,410.0,
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3346.4,5977.0,6564.0,5055.0,6943.0,6254.0,5895.0,7501.0,6810.0,6150.0,
Agricultural Production Foodgrains Coarse Cereals Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,4.0,0.9,1.5,1.1,2.8,1.7,0.9,0.7,0.6,0.3,
Agricultural Production Foodgrains Coarse Cereals Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3353.8,2330.0,2348.4,1849.6,2122.5,2149.9,2041.2,2166.3,2470.0,2530.0,
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,4750.0,5696.7,6087.0,6141.0,7093.0,5971.6,6293.3,6959.0,6120.0,4360.0,
Agricultural Production Foodgrains Coarse Cereals Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,10.7,10.9,10.1,8.5,7.5,8.9,7.9,7.9,8.4,11.5,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,26.4,26.6,27.4,28.2,28.1,26.3,26.4,27.2,27.4,27.8,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,9.9,16.4,16.7,14.9,20.3,15.7,22.7,21.0,0.7,9.3,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,52.1,61.6,73.4,118.0,108.3,105.5,120.1,126.4,139.4,127.3,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,143.0,169.1,159.9,162.4,210.4,191.7,230.4,364.0,260.0,290.0,
Agricultural Production Foodgrains Coarse Cereals Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,545.0,504.0,472.0,552.0,583.1,575.1,527.1,540.0,550.0,530.0,
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,9674.8,4956.4,4528.6,5501.9,7121.4,7325.7,3907.2,7995.5,7460.0,6910.0,
Agricultural Production Foodgrains Coarse Cereals Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,60.8,66.5,61.0,59.9,63.8,67.4,63.7,63.7,72.6,66.2,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,983.0,868.0,730.2,1361.9,1357.1,1755.1,1642.0,1878.2,2320.0,1650.0,
Agricultural Production Foodgrains Coarse Cereals Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,1.0,1.6,2.1,2.2,2.2,3.0,2.2,2.4,2.1,2.0,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,3.2,8.2,12.6,10.7,13.0,20.0,17.5,17.8,16.0,19.0,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3260.7,3391.8,2971.2,3084.4,3058.9,3080.2,2968.8,3216.6,3570.0,3690.0,
Agricultural Production Foodgrains Coarse Cereals Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,381.0,358.0,323.0,344.0,339.0,347.0,297.0,334.0,330.0,340.0,
Agricultural Production Foodgrains Coarse Cereals Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,150.0,162.0,150.3,274.7,265.8,365.4,404.0,407.9,380.0,630.0,
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2139.0,2026.0,2772.0,2305.0,3336.0,3713.0,2586.0,3895.0,3384.0,3858.0,
Agricultural Production Foodgrains Coarse Cereals Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2275.0,2293.0,2021.0,2555.0,2185.0,2577.0,2277.0,2145.0,2324.0,3292.0,
Agricultural Production Foodgrains Coarse Cereals Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,618.0,535.0,460.0,537.0,712.0,657.0,669.0,821.0,778.0,923.0,
Agricultural Production Foodgrains Coarse Cereals Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1492.0,1083.0,1142.0,928.0,1373.0,1371.0,1140.0,1355.0,1403.0,1656.0,
Agricultural Production Foodgrains Coarse Cereals Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1494.0,1249.0,1124.0,1567.0,1762.0,1760.0,1592.0,1756.0,2014.0,1923.0,
Agricultural Production Foodgrains Coarse Cereals Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2298.0,2170.0,1715.0,2180.0,2689.0,2166.0,1737.0,2121.0,2344.0,2161.0,
Agricultural Production Foodgrains Coarse Cereals Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1557.0,1437.0,1344.0,1396.0,1440.0,1819.0,1438.0,1571.0,1514.0,1543.0,
Agricultural Production Foodgrains Coarse Cereals Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1390.0,1291.0,1165.0,1126.0,1349.0,1266.0,1043.0,1120.0,1435.0,1640.0,
Agricultural Production Foodgrains Coarse Cereals Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,943.0,1530.0,1693.0,1481.0,1829.0,1742.0,1591.0,2151.0,1957.0,1713.0,
Agricultural Production Foodgrains Coarse Cereals Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1446.0,1062.0,1150.0,918.0,1082.0,1140.0,1136.0,1233.0,1395.0,1543.0,
Agricultural Production Foodgrains Coarse Cereals Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,797.0,820.0,887.0,895.0,1122.0,1031.0,1017.0,1186.0,1177.0,930.0,
Agricultural Production Foodgrains Coarse Cereals Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,856.0,933.0,968.0,1025.0,1219.0,1180.0,1357.0,1714.0,1368.0,1611.0,
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2904.0,2714.0,2697.0,3033.0,3311.0,3284.0,3315.0,3600.0,3929.0,3533.0,
Agricultural Production Foodgrains Coarse Cereals Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1224.0,778.0,669.0,807.0,1015.0,1031.0,541.0,1051.0,1080.0,1156.0,
Agricultural Production Foodgrains Coarse Cereals Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1095.0,1054.0,985.0,1951.0,1943.0,2424.0,2516.0,2476.0,3625.0,2357.0,
Agricultural Production Foodgrains Coarse Cereals Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1366.0,1577.0,1383.0,1404.0,1454.0,1550.0,1541.0,1563.0,1759.0,1845.0,
Agricultural Production Foodgrains Coarse Cereals Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1274.0,1222.0,1188.0,1318.0,1319.0,1280.0,1160.0,1328.0,1320.0,1360.0,
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1905.0,2443.0,2132.0,2589.0,2729.0,3319.0,3531.0,3700.0,3455.0,5250.0,
